id,chapter,model_name,gdp_rating,interest_rate_rating,inflation_rating,employment_rating,stock_market_rating,confidence_level,justification
40,1973-1-boston,anthropic.claude-instant-v1-100k,0,1,-1,1,-1,low,This is a mock justification for testing purposes.
41,1973-1-chicago,anthropic.claude-v2,0,1,1,-1,1,high,This is a mock justification for testing purposes.
42,1973-1-chicago,ai21.j2-ultra-v1,-1,-1,1,0,1,medium,This is a mock justification for testing purposes.
43,1973-1-chicago,amazon.titan-text-express-v1,0,0,1,0,0,low,This is a mock justification for testing purposes.
44,1973-1-chicago,anthropic.claude-instant-v1,1,1,0,1,0,high,This is a mock justification for testing purposes.
45,1973-1-chicago,anthropic.claude-instant-v1-100k,1,-1,0,-1,-1,medium,This is a mock justification for testing purposes.
46,1973-1-chicago,anthropic.claude-instant-v1-1k,0,0,-1,-1,-1,low,This is a mock justification for testing purposes.
47,1973-1-chicago,anthropic.claude-instant-v1-10k,0,1,-1,-1,0,low,This is a mock justification for testing purposes.
48,1973-1-chicago,anthropic.claude-instant-v1-100k,1,1,1,1,-1,high,This is a mock justification for testing purposes.
49,1973-1-chicago,anthropic.claude-instant-v1-1k,0,0,1,1,0,medium,This is a mock justification for testing purposes.
50,1973-1-chicago,anthropic.claude-instant-v1-10k,0,0,0,0,-1,low,This is a mock justification for testing purposes.
51,1973-1-chicago,anthropic.claude-instant-v1-100k,0,-1,-1,-1,-1,low,This is a mock justification for testing purposes.
52,1973-1-chicago,anthropic.claude-instant-v1-1k,0,0,-1,1,0,medium,This is a mock justification for testing purposes.
53,1973-1-chicago,anthropic.claude-instant-v1-10k,0,0,-1,1,1,low,This is a mock justification for testing purposes.
54,1973-1-chicago,anthropic.claude-instant-v1-100k,-1,-1,-1,0,0,high,This is a mock justification for testing purposes.
55,1973-1-chicago,anthropic.claude-instant-v1-1k,-1,-1,0,0,0,medium,This is a mock justification for testing purposes.
56,1973-1-chicago,anthropic.claude-instant-v1-10k,1,0,-1,1,1,high,This is a mock justification for testing purposes.
57,1973-1-chicago,anthropic.claude-instant-v1-100k,0,0,1,0,0,high,This is a mock justification for testing purposes.
58,1973-1-chicago,anthropic.claude-instant-v1-1k,0,1,-1,-1,-1,high,This is a mock justification for testing purposes.
59,1973-1-chicago,anthropic.claude-instant-v1-10k,-1,0,1,-1,1,medium,This is a mock justification for testing purposes.
60,1973-1-chicago,anthropic.claude-instant-v1-100k,1,0,1,1,-1,low,This is a mock justification for testing purposes.
61,1973-1-cleveland,anthropic.claude-v2,-1,0,-1,-1,-1,low,This is a mock justification for testing purposes.
62,1973-1-cleveland,ai21.j2-ultra-v1,0,0,-1,0,-1,medium,This is a mock justification for testing purposes.
63,1973-1-cleveland,amazon.titan-text-express-v1,0,-1,1,1,0,high,This is a mock justification for testing purposes.
64,1973-1-cleveland,anthropic.claude-instant-v1,1,0,1,-1,-1,low,This is a mock justification for testing purposes.
65,1973-1-cleveland,anthropic.claude-instant-v1-100k,1,-1,1,-1,0,medium,This is a mock justification for testing purposes.
66,1973-1-cleveland,anthropic.claude-instant-v1-1k,0,1,-1,0,-1,medium,This is a mock justification for testing purposes.
67,1973-1-cleveland,anthropic.claude-instant-v1-10k,0,1,0,-1,1,medium,This is a mock justification for testing purposes.
68,1973-1-cleveland,anthropic.claude-instant-v1-100k,-1,0,-1,0,-1,low,This is a mock justification for testing purposes.
69,1973-1-cleveland,anthropic.claude-instant-v1-1k,1,-1,1,1,-1,medium,This is a mock justification for testing purposes.
70,1973-1-cleveland,anthropic.claude-instant-v1-10k,-1,-1,1,1,0,low,This is a mock justification for testing purposes.
71,1973-1-cleveland,anthropic.claude-instant-v1-100k,0,0,1,-1,1,low,This is a mock justification for testing purposes.
72,1973-1-cleveland,anthropic.claude-instant-v1-1k,1,1,-1,1,-1,low,This is a mock justification for testing purposes.
73,1973-1-cleveland,anthropic.claude-instant-v1-10k,1,0,0,1,1,high,This is a mock justification for testing purposes.
74,1973-1-cleveland,anthropic.claude-instant-v1-100k,-1,1,-1,0,1,low,This is a mock justification for testing purposes.
75,1973-1-cleveland,anthropic.claude-instant-v1-1k,0,0,1,0,0,high,This is a mock justification for testing purposes.
76,1973-1-cleveland,anthropic.claude-instant-v1-10k,-1,0,1,0,0,medium,This is a mock justification for testing purposes.
77,1973-1-cleveland,anthropic.claude-instant-v1-100k,0,-1,-1,-1,0,high,This is a mock justification for testing purposes.
78,1973-1-cleveland,anthropic.claude-instant-v1-1k,0,-1,1,-1,0,low,This is a mock justification for testing purposes.
79,1973-1-cleveland,anthropic.claude-instant-v1-10k,-1,-1,1,1,0,medium,This is a mock justification for testing purposes.
80,1973-1-cleveland,anthropic.claude-instant-v1-100k,1,0,-1,-1,-1,high,This is a mock justification for testing purposes.
81,1973-1-dallas,anthropic.claude-v2,1,0,0,0,1,high,This is a mock justification for testing purposes.
82,1973-1-dallas,ai21.j2-ultra-v1,0,0,-1,0,0,medium,This is a mock justification for testing purposes.
83,1973-1-dallas,amazon.titan-text-express-v1,0,0,-1,1,-1,medium,This is a mock justification for testing purposes.
84,1973-1-dallas,anthropic.claude-instant-v1,0,0,0,-1,-1,low,This is a mock justification for testing purposes.
85,1973-1-dallas,anthropic.claude-instant-v1-100k,1,1,0,-1,-1,medium,This is a mock justification for testing purposes.
86,1973-1-dallas,anthropic.claude-instant-v1-1k,1,0,0,0,-1,low,This is a mock justification for testing purposes.
87,1973-1-dallas,anthropic.claude-instant-v1-10k,-1,0,0,-1,0,low,This is a mock justification for testing purposes.
88,1973-1-dallas,anthropic.claude-instant-v1-100k,1,0,0,-1,0,low,This is a mock justification for testing purposes.
89,1973-1-dallas,anthropic.claude-instant-v1-1k,1,1,-1,0,1,medium,This is a mock justification for testing purposes.
90,1973-1-dallas,anthropic.claude-instant-v1-10k,0,1,-1,-1,-1,high,This is a mock justification for testing purposes.
91,1973-1-dallas,anthropic.claude-instant-v1-100k,0,1,1,-1,1,low,This is a mock justification for testing purposes.
92,1973-1-dallas,anthropic.claude-instant-v1-1k,0,1,1,-1,0,medium,This is a mock justification for testing purposes.
93,1973-1-dallas,anthropic.claude-instant-v1-10k,-1,0,-1,0,-1,low,This is a mock justification for testing purposes.
94,1973-1-dallas,anthropic.claude-instant-v1-100k,0,-1,0,0,1,medium,This is a mock justification for testing purposes.
95,1973-1-dallas,anthropic.claude-instant-v1-1k,1,1,0,-1,1,medium,This is a mock justification for testing purposes.
96,1973-1-dallas,anthropic.claude-instant-v1-10k,0,0,0,0,0,high,This is a mock justification for testing purposes.
97,1973-1-dallas,anthropic.claude-instant-v1-100k,0,-1,-1,1,1,high,This is a mock justification for testing purposes.
98,1973-1-dallas,anthropic.claude-instant-v1-1k,0,-1,-1,-1,1,medium,This is a mock justification for testing purposes.
99,1973-1-dallas,anthropic.claude-instant-v1-10k,0,0,0,1,1,medium,This is a mock justification for testing purposes.
100,1973-1-dallas,anthropic.claude-instant-v1-100k,0,-1,-1,-1,-1,low,This is a mock justification for testing purposes.
101,1973-1-kensas_city,anthropic.claude-v2,0,0,0,-1,0,high,This is a mock justification for testing purposes.
102,1973-1-kensas_city,ai21.j2-ultra-v1,0,0,-1,1,0,low,This is a mock justification for testing purposes.
103,1973-1-kensas_city,amazon.titan-text-express-v1,1,-1,1,0,-1,medium,This is a mock justification for testing purposes.
104,1973-1-kensas_city,anthropic.claude-instant-v1,1,-1,0,1,-1,medium,This is a mock justification for testing purposes.
105,1973-1-kensas_city,anthropic.claude-instant-v1-100k,-1,-1,0,1,1,medium,This is a mock justification for testing purposes.
106,1973-1-kensas_city,anthropic.claude-instant-v1-1k,1,-1,1,0,-1,high,This is a mock justification for testing purposes.
107,1973-1-kensas_city,anthropic.claude-instant-v1-10k,1,-1,0,1,1,low,This is a mock justification for testing purposes.
108,1973-1-kensas_city,anthropic.claude-instant-v1-100k,1,-1,-1,1,1,high,This is a mock justification for testing purposes.
109,1973-1-kensas_city,anthropic.claude-instant-v1-1k,0,0,0,0,1,low,This is a mock justification for testing purposes.
110,1973-1-kensas_city,anthropic.claude-instant-v1-10k,1,1,1,1,0,high,This is a mock justification for testing purposes.
111,1973-1-kensas_city,anthropic.claude-instant-v1-100k,1,0,-1,1,-1,high,This is a mock justification for testing purposes.
112,1973-1-kensas_city,anthropic.claude-instant-v1-1k,1,1,1,-1,0,medium,This is a mock justification for testing purposes.
113,1973-1-kensas_city,anthropic.claude-instant-v1-10k,0,0,1,-1,0,high,This is a mock justification for testing purposes.
114,1973-1-kensas_city,anthropic.claude-instant-v1-100k,0,1,1,-1,1,high,This is a mock justification for testing purposes.
115,1973-1-kensas_city,anthropic.claude-instant-v1-1k,-1,-1,1,-1,0,high,This is a mock justification for testing purposes.
116,1973-1-kensas_city,anthropic.claude-instant-v1-10k,0,0,0,1,1,low,This is a mock justification for testing purposes.
117,1973-1-kensas_city,anthropic.claude-instant-v1-100k,-1,0,1,0,-1,medium,This is a mock justification for testing purposes.
118,1973-1-kensas_city,anthropic.claude-instant-v1-1k,0,-1,1,-1,1,high,This is a mock justification for testing purposes.
119,1973-1-kensas_city,anthropic.claude-instant-v1-10k,-1,1,1,0,-1,high,This is a mock justification for testing purposes.
120,1973-1-kensas_city,anthropic.claude-instant-v1-100k,1,-1,1,-1,-1,medium,This is a mock justification for testing purposes.
121,1973-1-minneapolis,anthropic.claude-v2,-1,0,-1,-1,1,low,This is a mock justification for testing purposes.
122,1973-1-minneapolis,ai21.j2-ultra-v1,0,-1,-1,-1,-1,medium,This is a mock justification for testing purposes.
123,1973-1-minneapolis,amazon.titan-text-express-v1,1,1,1,1,1,medium,This is a mock justification for testing purposes.
124,1973-1-minneapolis,anthropic.claude-instant-v1,0,-1,1,0,1,high,This is a mock justification for testing purposes.
125,1973-1-minneapolis,anthropic.claude-instant-v1-100k,-1,1,1,0,-1,medium,This is a mock justification for testing purposes.
126,1973-1-minneapolis,anthropic.claude-instant-v1-1k,0,-1,-1,1,-1,low,This is a mock justification for testing purposes.
127,1973-1-minneapolis,anthropic.claude-instant-v1-10k,-1,0,0,-1,1,medium,This is a mock justification for testing purposes.
128,1973-1-minneapolis,anthropic.claude-instant-v1-100k,0,1,1,-1,0,medium,This is a mock justification for testing purposes.
129,1973-1-minneapolis,anthropic.claude-instant-v1-1k,0,0,-1,-1,-1,low,This is a mock justification for testing purposes.
130,1973-1-minneapolis,anthropic.claude-instant-v1-10k,-1,1,0,1,1,high,This is a mock justification for testing purposes.
131,1973-1-minneapolis,anthropic.claude-instant-v1-100k,0,0,1,1,1,high,This is a mock justification for testing purposes.
132,1973-1-minneapolis,anthropic.claude-instant-v1-1k,-1,1,1,-1,0,medium,This is a mock justification for testing purposes.
133,1973-1-minneapolis,anthropic.claude-instant-v1-10k,0,1,1,0,-1,high,This is a mock justification for testing purposes.
134,1973-1-minneapolis,anthropic.claude-instant-v1-100k,0,0,1,1,1,medium,This is a mock justification for testing purposes.
135,1973-1-minneapolis,anthropic.claude-instant-v1-1k,-1,1,-1,0,1,low,This is a mock justification for testing purposes.
136,1973-1-minneapolis,anthropic.claude-instant-v1-10k,1,1,-1,0,0,low,This is a mock justification for testing purposes.
137,1973-1-minneapolis,anthropic.claude-instant-v1-100k,1,1,1,-1,0,high,This is a mock justification for testing purposes.
138,1973-1-minneapolis,anthropic.claude-instant-v1-1k,-1,-1,0,0,0,high,This is a mock justification for testing purposes.
139,1973-1-minneapolis,anthropic.claude-instant-v1-10k,0,1,-1,-1,1,low,This is a mock justification for testing purposes.
140,1973-1-minneapolis,anthropic.claude-instant-v1-100k,0,-1,1,-1,-1,medium,This is a mock justification for testing purposes.
141,1973-1-national_summary,anthropic.claude-v2,0,1,1,1,-1,high,This is a mock justification for testing purposes.
142,1973-1-national_summary,ai21.j2-ultra-v1,-1,1,0,0,0,medium,This is a mock justification for testing purposes.
143,1973-1-national_summary,amazon.titan-text-express-v1,-1,0,1,1,1,low,This is a mock justification for testing purposes.
144,1973-1-national_summary,anthropic.claude-instant-v1,1,1,1,-1,1,medium,This is a mock justification for testing purposes.
145,1973-1-national_summary,anthropic.claude-instant-v1-100k,-1,0,0,1,0,high,This is a mock justification for testing purposes.
146,1973-1-national_summary,anthropic.claude-instant-v1-1k,0,1,-1,-1,-1,low,This is a mock justification for testing purposes.
147,1973-1-national_summary,anthropic.claude-instant-v1-10k,0,0,-1,-1,-1,high,This is a mock justification for testing purposes.
148,1973-1-national_summary,anthropic.claude-instant-v1-100k,0,0,0,1,-1,high,This is a mock justification for testing purposes.
149,1973-1-national_summary,anthropic.claude-instant-v1-1k,-1,-1,-1,0,0,low,This is a mock justification for testing purposes.
150,1973-1-national_summary,anthropic.claude-instant-v1-10k,0,1,-1,1,0,low,This is a mock justification for testing purposes.
151,1973-1-national_summary,anthropic.claude-instant-v1-100k,1,0,-1,0,-1,medium,This is a mock justification for testing purposes.
152,1973-1-national_summary,anthropic.claude-instant-v1-1k,-1,1,-1,1,1,medium,This is a mock justification for testing purposes.
153,1973-1-national_summary,anthropic.claude-instant-v1-10k,0,0,-1,0,-1,low,This is a mock justification for testing purposes.
154,1973-1-national_summary,anthropic.claude-instant-v1-100k,1,1,1,1,0,low,This is a mock justification for testing purposes.
155,1973-1-national_summary,anthropic.claude-instant-v1-1k,0,1,-1,1,-1,high,This is a mock justification for testing purposes.
156,1973-1-national_summary,anthropic.claude-instant-v1-10k,-1,-1,1,1,-1,low,This is a mock justification for testing purposes.
157,1973-1-national_summary,anthropic.claude-instant-v1-100k,0,1,1,0,1,medium,This is a mock justification for testing purposes.
158,1973-1-national_summary,anthropic.claude-instant-v1-1k,1,-1,0,1,1,medium,This is a mock justification for testing purposes.
159,1973-1-national_summary,anthropic.claude-instant-v1-10k,0,0,0,0,0,medium,This is a mock justification for testing purposes.
160,1973-1-national_summary,anthropic.claude-instant-v1-100k,-1,-1,-1,1,0,medium,This is a mock justification for testing purposes.
161,1973-1-new_york,anthropic.claude-v2,1,-1,0,1,-1,low,This is a mock justification for testing purposes.
162,1973-1-new_york,ai21.j2-ultra-v1,0,0,0,0,1,low,This is a mock justification for testing purposes.
163,1973-1-new_york,amazon.titan-text-express-v1,1,1,0,0,1,medium,This is a mock justification for testing purposes.
164,1973-1-new_york,anthropic.claude-instant-v1,1,-1,0,0,0,medium,This is a mock justification for testing purposes.
165,1973-1-new_york,anthropic.claude-instant-v1-100k,-1,0,0,-1,0,high,This is a mock justification for testing purposes.
166,1973-1-new_york,anthropic.claude-instant-v1-1k,-1,0,0,0,0,low,This is a mock justification for testing purposes.
167,1973-1-new_york,anthropic.claude-instant-v1-10k,0,1,-1,0,-1,medium,This is a mock justification for testing purposes.
168,1973-1-new_york,anthropic.claude-instant-v1-100k,1,1,-1,0,-1,low,This is a mock justification for testing purposes.
169,1973-1-new_york,anthropic.claude-instant-v1-1k,0,1,-1,-1,-1,low,This is a mock justification for testing purposes.
170,1973-1-new_york,anthropic.claude-instant-v1-10k,1,-1,0,1,1,high,This is a mock justification for testing purposes.
171,1973-1-new_york,anthropic.claude-instant-v1-100k,1,1,1,0,-1,high,This is a mock justification for testing purposes.
172,1973-1-new_york,anthropic.claude-instant-v1-1k,1,0,1,0,-1,high,This is a mock justification for testing purposes.
173,1973-1-new_york,anthropic.claude-instant-v1-10k,0,-1,-1,0,-1,medium,This is a mock justification for testing purposes.
174,1973-1-new_york,anthropic.claude-instant-v1-100k,-1,0,0,0,-1,medium,This is a mock justification for testing purposes.
175,1973-1-new_york,anthropic.claude-instant-v1-1k,-1,1,1,1,0,low,This is a mock justification for testing purposes.
176,1973-1-new_york,anthropic.claude-instant-v1-10k,-1,-1,-1,1,-1,medium,This is a mock justification for testing purposes.
177,1973-1-new_york,anthropic.claude-instant-v1-100k,0,0,1,-1,-1,low,This is a mock justification for testing purposes.
178,1973-1-new_york,anthropic.claude-instant-v1-1k,0,1,0,0,1,low,This is a mock justification for testing purposes.
179,1973-1-new_york,anthropic.claude-instant-v1-10k,-1,0,1,-1,0,high,This is a mock justification for testing purposes.
180,1973-1-new_york,anthropic.claude-instant-v1-100k,-1,0,1,0,1,low,This is a mock justification for testing purposes.
181,1973-1-philadelphia,anthropic.claude-v2,0,1,1,1,0,high,This is a mock justification for testing purposes.
182,1973-1-philadelphia,ai21.j2-ultra-v1,1,0,1,1,1,low,This is a mock justification for testing purposes.
183,1973-1-philadelphia,amazon.titan-text-express-v1,-1,-1,1,0,0,medium,This is a mock justification for testing purposes.
184,1973-1-philadelphia,anthropic.claude-instant-v1,1,0,0,1,-1,low,This is a mock justification for testing purposes.
185,1973-1-philadelphia,anthropic.claude-instant-v1-100k,1,0,1,0,-1,low,This is a mock justification for testing purposes.
186,1973-1-philadelphia,anthropic.claude-instant-v1-1k,-1,1,0,0,1,high,This is a mock justification for testing purposes.
187,1973-1-philadelphia,anthropic.claude-instant-v1-10k,-1,1,0,0,0,low,This is a mock justification for testing purposes.
188,1973-1-philadelphia,anthropic.claude-instant-v1-100k,1,1,-1,0,-1,medium,This is a mock justification for testing purposes.
189,1973-1-philadelphia,anthropic.claude-instant-v1-1k,-1,-1,0,0,-1,low,This is a mock justification for testing purposes.
190,1973-1-philadelphia,anthropic.claude-instant-v1-10k,0,1,0,1,-1,medium,This is a mock justification for testing purposes.
191,1973-1-philadelphia,anthropic.claude-instant-v1-100k,1,-1,1,-1,-1,medium,This is a mock justification for testing purposes.
192,1973-1-philadelphia,anthropic.claude-instant-v1-1k,0,0,-1,1,1,low,This is a mock justification for testing purposes.
193,1973-1-philadelphia,anthropic.claude-instant-v1-10k,1,-1,0,-1,1,low,This is a mock justification for testing purposes.
194,1973-1-philadelphia,anthropic.claude-instant-v1-100k,1,-1,0,1,0,medium,This is a mock justification for testing purposes.
195,1973-1-philadelphia,anthropic.claude-instant-v1-1k,-1,-1,1,0,-1,high,This is a mock justification for testing purposes.
196,1973-1-philadelphia,anthropic.claude-instant-v1-10k,1,-1,1,-1,0,high,This is a mock justification for testing purposes.
197,1973-1-philadelphia,anthropic.claude-instant-v1-100k,1,0,1,0,-1,high,This is a mock justification for testing purposes.
198,1973-1-philadelphia,anthropic.claude-instant-v1-1k,-1,-1,1,0,1,low,This is a mock justification for testing purposes.
199,1973-1-philadelphia,anthropic.claude-instant-v1-10k,0,-1,0,1,0,high,This is a mock justification for testing purposes.
200,1973-1-philadelphia,anthropic.claude-instant-v1-100k,-1,1,-1,1,0,low,This is a mock justification for testing purposes.
201,1973-1-richmond,anthropic.claude-v2,-1,1,1,-1,-1,medium,This is a mock justification for testing purposes.
202,1973-1-richmond,ai21.j2-ultra-v1,0,-1,1,1,1,high,This is a mock justification for testing purposes.
203,1973-1-richmond,amazon.titan-text-express-v1,1,-1,1,-1,-1,high,This is a mock justification for testing purposes.
204,1973-1-richmond,anthropic.claude-instant-v1,-1,0,1,-1,0,low,This is a mock justification for testing purposes.
205,1973-1-richmond,anthropic.claude-instant-v1-100k,1,1,0,1,-1,low,This is a mock justification for testing purposes.
206,1973-1-richmond,anthropic.claude-instant-v1-1k,-1,1,-1,1,1,high,This is a mock justification for testing purposes.
207,1973-1-richmond,anthropic.claude-instant-v1-10k,-1,0,0,-1,-1,low,This is a mock justification for testing purposes.
208,1973-1-richmond,anthropic.claude-instant-v1-100k,1,-1,-1,-1,-1,medium,This is a mock justification for testing purposes.
209,1973-1-richmond,anthropic.claude-instant-v1-1k,0,1,-1,-1,0,low,This is a mock justification for testing purposes.
210,1973-1-richmond,anthropic.claude-instant-v1-10k,1,0,1,1,-1,high,This is a mock justification for testing purposes.
211,1973-1-richmond,anthropic.claude-instant-v1-100k,1,1,1,0,0,low,This is a mock justification for testing purposes.
212,1973-1-richmond,anthropic.claude-instant-v1-1k,-1,1,0,1,-1,high,This is a mock justification for testing purposes.
213,1973-1-richmond,anthropic.claude-instant-v1-10k,-1,-1,-1,1,0,medium,This is a mock justification for testing purposes.
214,1973-1-richmond,anthropic.claude-instant-v1-100k,-1,-1,0,0,0,low,This is a mock justification for testing purposes.
215,1973-1-richmond,anthropic.claude-instant-v1-1k,0,0,1,1,0,medium,This is a mock justification for testing purposes.
216,1973-1-richmond,anthropic.claude-instant-v1-10k,0,1,-1,-1,-1,medium,This is a mock justification for testing purposes.
217,1973-1-richmond,anthropic.claude-instant-v1-100k,1,-1,1,0,1,high,This is a mock justification for testing purposes.
218,1973-1-richmond,anthropic.claude-instant-v1-1k,-1,-1,1,-1,0,low,This is a mock justification for testing purposes.
219,1973-1-richmond,anthropic.claude-instant-v1-10k,0,1,0,0,1,medium,This is a mock justification for testing purposes.
220,1973-1-richmond,anthropic.claude-instant-v1-100k,-1,-1,1,-1,0,medium,This is a mock justification for testing purposes.
221,1973-1-san_francisco,anthropic.claude-v2,-1,0,0,-1,-1,medium,This is a mock justification for testing purposes.
222,1973-1-san_francisco,ai21.j2-ultra-v1,0,-1,-1,-1,1,high,This is a mock justification for testing purposes.
223,1973-1-san_francisco,amazon.titan-text-express-v1,1,-1,1,1,0,low,This is a mock justification for testing purposes.
224,1973-1-san_francisco,anthropic.claude-instant-v1,1,0,1,-1,1,medium,This is a mock justification for testing purposes.
225,1973-1-san_francisco,anthropic.claude-instant-v1-100k,1,0,-1,-1,-1,low,This is a mock justification for testing purposes.
226,1973-1-san_francisco,anthropic.claude-instant-v1-1k,-1,-1,-1,1,0,medium,This is a mock justification for testing purposes.
227,1973-1-san_francisco,anthropic.claude-instant-v1-10k,-1,-1,-1,-1,-1,high,This is a mock justification for testing purposes.
228,1973-1-san_francisco,anthropic.claude-instant-v1-100k,0,-1,-1,-1,-1,low,This is a mock justification for testing purposes.
229,1973-1-san_francisco,anthropic.claude-instant-v1-1k,0,-1,0,-1,0,medium,This is a mock justification for testing purposes.
230,1973-1-san_francisco,anthropic.claude-instant-v1-10k,1,0,0,0,-1,low,This is a mock justification for testing purposes.
231,1973-1-san_francisco,anthropic.claude-instant-v1-100k,-1,-1,-1,0,0,high,This is a mock justification for testing purposes.
232,1973-1-san_francisco,anthropic.claude-instant-v1-1k,-1,-1,-1,-1,-1,high,This is a mock justification for testing purposes.
233,1973-1-san_francisco,anthropic.claude-instant-v1-10k,0,0,1,0,-1,medium,This is a mock justification for testing purposes.
234,1973-1-san_francisco,anthropic.claude-instant-v1-100k,-1,-1,0,0,0,low,This is a mock justification for testing purposes.
235,1973-1-san_francisco,anthropic.claude-instant-v1-1k,0,1,-1,0,0,high,This is a mock justification for testing purposes.
236,1973-1-san_francisco,anthropic.claude-instant-v1-10k,0,0,-1,0,1,high,This is a mock justification for testing purposes.
237,1973-1-san_francisco,anthropic.claude-instant-v1-100k,0,0,-1,0,0,medium,This is a mock justification for testing purposes.
238,1973-1-san_francisco,anthropic.claude-instant-v1-1k,0,-1,-1,0,-1,medium,This is a mock justification for testing purposes.
239,1973-1-san_francisco,anthropic.claude-instant-v1-10k,-1,-1,0,0,1,low,This is a mock justification for testing purposes.
240,1973-1-san_francisco,anthropic.claude-instant-v1-100k,-1,1,-1,0,1,high,This is a mock justification for testing purposes.
241,1973-1-st_louis,anthropic.claude-v2,0,0,-1,1,1,low,This is a mock justification for testing purposes.
242,1973-1-st_louis,ai21.j2-ultra-v1,0,1,1,0,-1,medium,This is a mock justification for testing purposes.
243,1973-1-st_louis,amazon.titan-text-express-v1,1,-1,1,1,0,low,This is a mock justification for testing purposes.
